 minimum eigenvalues =  1.5532994546692744 1.7960683570319398 1.9860837735692352
 maximum eigenvalues =  1403.4130153865501 280.55733137593381 185.28276018187691
 num eigs kept =  36
 iter     1 lrate =  0.0500000000 LL =  -2.7252048293 nd =  0.0553864878, D =   0.43852E-02  0.43852E-02  (  2.51 s,   1.4 h)
 iter     2 lrate =  0.0500000000 LL =  -2.6806896759 nd =  0.0183320854, D =   0.38219E-02  0.38219E-02  (  2.28 s,   1.3 h)
 iter     3 lrate =  0.0500000000 LL =  -2.6741627571 nd =  0.0095252572, D =   0.32256E-02  0.32256E-02  (  2.30 s,   1.3 h)
 iter     4 lrate =  0.0500000000 LL =  -2.6723703694 nd =  0.0089340373, D =   0.29017E-02  0.29017E-02  (  2.30 s,   1.3 h)
 iter     5 lrate =  0.0500000000 LL =  -2.6715076269 nd =  0.0087437508, D =   0.29326E-02  0.29326E-02  (  2.33 s,   1.3 h)
 iter     6 lrate =  0.0500000000 LL =  -2.6709257414 nd =  0.0084454354, D =   0.32771E-02  0.32771E-02  (  2.31 s,   1.3 h)
 iter     7 lrate =  0.0500000000 LL =  -2.6704706418 nd =  0.0080873643, D =   0.38629E-02  0.38629E-02  (  2.29 s,   1.3 h)
 iter     8 lrate =  0.0500000000 LL =  -2.6700984735 nd =  0.0077135592, D =   0.46168E-02  0.46168E-02  (  2.30 s,   1.3 h)
 iter     9 lrate =  0.0500000000 LL =  -2.6697867755 nd =  0.0073541525, D =   0.54741E-02  0.54741E-02  (  2.30 s,   1.3 h)
 iter    10 lrate =  0.0500000000 LL =  -2.6695200188 nd =  0.0070269514, D =   0.63823E-02  0.63823E-02  (  2.31 s,   1.3 h)
 iter    11 lrate =  0.0500000000 LL =  -2.6692880054 nd =  0.0067371925, D =   0.73018E-02  0.73018E-02  (  2.33 s,   1.3 h)
 iter    12 lrate =  0.0500000000 LL =  -2.6690866653 nd =  0.0064800564, D =   0.82035E-02  0.82035E-02  (  2.30 s,   1.3 h)
 iter    13 lrate =  0.0500000000 LL =  -2.6689099346 nd =  0.0062557772, D =   0.90659E-02  0.90659E-02  (  2.28 s,   1.3 h)
 iter    14 lrate =  0.0500000000 LL =  -2.6687498462 nd =  0.0060711346, D =   0.98746E-02  0.98746E-02  (  2.30 s,   1.3 h)
 iter    15 lrate =  0.0500000000 LL =  -2.6686018241 nd =  0.0059169903, D =   0.10624E-01  0.10624E-01  (  2.31 s,   1.3 h)
 iter    16 lrate =  0.0500000000 LL =  -2.6684648917 nd =  0.0057862133, D =   0.11312E-01  0.11312E-01  (  2.28 s,   1.3 h)
 iter    17 lrate =  0.0500000000 LL =  -2.6683400357 nd =  0.0056643828, D =   0.11936E-01  0.11936E-01  (  2.50 s,   1.4 h)
 iter    18 lrate =  0.0500000000 LL =  -2.6682250815 nd =  0.0055547244, D =   0.12496E-01  0.12496E-01  (  2.27 s,   1.3 h)
 iter    19 lrate =  0.0500000000 LL =  -2.6681170951 nd =  0.0054639566, D =   0.12991E-01  0.12991E-01  (  2.30 s,   1.3 h)
 iter    20 lrate =  0.0500000000 LL =  -2.6680145432 nd =  0.0053880349, D =   0.13424E-01  0.13424E-01  (  2.30 s,   1.3 h)
 iter    21 lrate =  0.0500000000 LL =  -2.6679160755 nd =  0.0053239936, D =   0.13801E-01  0.13801E-01  (  2.47 s,   1.4 h)
 iter    22 lrate =  0.0500000000 LL =  -2.6678211454 nd =  0.0052693184, D =   0.14125E-01  0.14125E-01  (  2.31 s,   1.3 h)
 iter    23 lrate =  0.0500000000 LL =  -2.6677300237 nd =  0.0052214003, D =   0.14402E-01  0.14402E-01  (  2.29 s,   1.3 h)
 iter    24 lrate =  0.0500000000 LL =  -2.6676417560 nd =  0.0051798421, D =   0.14634E-01  0.14634E-01  (  2.31 s,   1.3 h)
 iter    25 lrate =  0.0500000000 LL =  -2.6675564240 nd =  0.0051413317, D =   0.14825E-01  0.14825E-01  (  2.27 s,   1.2 h)
 iter    26 lrate =  0.0500000000 LL =  -2.6674737937 nd =  0.0051066467, D =   0.14980E-01  0.14980E-01  (  2.29 s,   1.3 h)
 iter    27 lrate =  0.0500000000 LL =  -2.6673934119 nd =  0.0050743659, D =   0.15101E-01  0.15101E-01  (  2.29 s,   1.3 h)
 iter    28 lrate =  0.0500000000 LL =  -2.6673156424 nd =  0.0050432256, D =   0.15191E-01  0.15191E-01  (  2.27 s,   1.2 h)
 iter    29 lrate =  0.0500000000 LL =  -2.6672413858 nd =  0.0050122572, D =   0.15253E-01  0.15253E-01  (  2.29 s,   1.3 h)
 iter    30 lrate =  0.0500000000 LL =  -2.6671690618 nd =  0.0049837726, D =   0.15290E-01  0.15290E-01  (  2.29 s,   1.3 h)
 iter    31 lrate =  0.0500000000 LL =  -2.6670989308 nd =  0.0049571007, D =   0.15305E-01  0.15305E-01  (  2.30 s,   1.3 h)
 iter    32 lrate =  0.0500000000 LL =  -2.6670308698 nd =  0.0049339262, D =   0.15298E-01  0.15298E-01  (  2.27 s,   1.2 h)
 iter    33 lrate =  0.0500000000 LL =  -2.6669644863 nd =  0.0049108605, D =   0.15273E-01  0.15273E-01  (  2.29 s,   1.3 h)
 iter    34 lrate =  0.0500000000 LL =  -2.6668993667 nd =  0.0048869597, D =   0.15232E-01  0.15232E-01  (  2.30 s,   1.3 h)
 iter    35 lrate =  0.0500000000 LL =  -2.6668354872 nd =  0.0048647136, D =   0.15175E-01  0.15175E-01  (  2.28 s,   1.2 h)
 iter    36 lrate =  0.0500000000 LL =  -2.6667725116 nd =  0.0048424754, D =   0.15106E-01  0.15106E-01  (  2.29 s,   1.2 h)
 iter    37 lrate =  0.0500000000 LL =  -2.6667105565 nd =  0.0048202148, D =   0.15026E-01  0.15026E-01  (  2.29 s,   1.2 h)
 iter    38 lrate =  0.0500000000 LL =  -2.6666496016 nd =  0.0047987058, D =   0.14937E-01  0.14937E-01  (  2.29 s,   1.2 h)
 iter    39 lrate =  0.0500000000 LL =  -2.6665897658 nd =  0.0047764837, D =   0.14838E-01  0.14838E-01  (  2.27 s,   1.2 h)
 iter    40 lrate =  0.0500000000 LL =  -2.6665307091 nd =  0.0047547716, D =   0.14733E-01  0.14733E-01  (  2.28 s,   1.2 h)
 iter    41 lrate =  0.0500000000 LL =  -2.6664722912 nd =  0.0047325549, D =   0.14621E-01  0.14621E-01  (  2.49 s,   1.4 h)
 iter    42 lrate =  0.0500000000 LL =  -2.6664147478 nd =  0.0047108935, D =   0.14504E-01  0.14504E-01  (  2.27 s,   1.2 h)
 iter    43 lrate =  0.0500000000 LL =  -2.6663581894 nd =  0.0046891141, D =   0.14382E-01  0.14382E-01  (  2.49 s,   1.4 h)
 iter    44 lrate =  0.0500000000 LL =  -2.6663020599 nd =  0.0046667957, D =   0.14257E-01  0.14257E-01  (  2.28 s,   1.2 h)
 iter    45 lrate =  0.0500000000 LL =  -2.6662465675 nd =  0.0046450306, D =   0.14128E-01  0.14128E-01  (  2.27 s,   1.2 h)
 iter    46 lrate =  0.0500000000 LL =  -2.6661916807 nd =  0.0046228574, D =   0.13996E-01  0.13996E-01  (  2.29 s,   1.2 h)
 iter    47 lrate =  0.0500000000 LL =  -2.6661376415 nd =  0.0046012527, D =   0.13862E-01  0.13862E-01  (  2.29 s,   1.2 h)
 iter    48 lrate =  0.0500000000 LL =  -2.6660841508 nd =  0.0045801271, D =   0.13726E-01  0.13726E-01  (  2.28 s,   1.2 h)
 iter    49 lrate =  0.0500000000 LL =  -2.6660312269 nd =  0.0045593913, D =   0.13589E-01  0.13589E-01  (  2.28 s,   1.2 h)
 iter    50 lrate =  0.0500000000 LL =  -2.6659788198 nd =  0.0048483358, D =   0.13450E-01  0.13450E-01  (  2.48 s,   1.3 h)
 iter    51 lrate =  0.1000000000 LL =  -2.6658858823 nd =  0.0048178733, D =   0.13162E-01  0.13162E-01  (  2.43 s,   1.3 h)
 iter    52 lrate =  0.2000000000 LL =  -2.6657186936 nd =  0.0047331171, D =   0.12599E-01  0.12599E-01  (  2.45 s,   1.3 h)
 iter    53 lrate =  0.3000000000 LL =  -2.6654852448 nd =  0.0045953809, D =   0.11787E-01  0.11787E-01  (  2.45 s,   1.3 h)
 iter    54 lrate =  0.4000000000 LL =  -2.6651981622 nd =  0.0044017673, D =   0.10770E-01  0.10770E-01  (  2.44 s,   1.3 h)
 iter    55 lrate =  0.5000000000 LL =  -2.6648735054 nd =  0.0041606325, D =   0.96086E-02  0.96086E-02  (  2.45 s,   1.3 h)
 iter    56 lrate =  0.6000000000 LL =  -2.6645289425 nd =  0.0038770311, D =   0.83956E-02  0.83956E-02  (  2.44 s,   1.3 h)
 iter    57 lrate =  0.7000000000 LL =  -2.6641830591 nd =  0.0035511657, D =   0.72298E-02  0.72298E-02  (  2.44 s,   1.3 h)
 iter    58 lrate =  0.8000000000 LL =  -2.6638529449 nd =  0.0032068129, D =   0.61984E-02  0.61984E-02  (  2.45 s,   1.3 h)
 iter    59 lrate =  0.9000000000 LL =  -2.6635508861 nd =  0.0028662051, D =   0.53544E-02  0.53544E-02  (  2.44 s,   1.3 h)
 iter    60 lrate =  1.0000000000 LL =  -2.6632820945 nd =  0.0025456914, D =   0.46970E-02  0.46970E-02  (  2.45 s,   1.3 h)
 iter    61 lrate =  1.0000000000 LL =  -2.6630655504 nd =  0.0022841395, D =   0.42491E-02  0.42491E-02  (  2.75 s,   1.5 h)
 iter    62 lrate =  1.0000000000 LL =  -2.6628880655 nd =  0.0020615166, D =   0.39556E-02  0.39556E-02  (  2.44 s,   1.3 h)
 iter    63 lrate =  1.0000000000 LL =  -2.6627415122 nd =  0.0018691826, D =   0.37568E-02  0.37568E-02  (  2.45 s,   1.3 h)
 iter    64 lrate =  1.0000000000 LL =  -2.6626188227 nd =  0.0017104576, D =   0.36239E-02  0.36239E-02  (  2.44 s,   1.3 h)
 iter    65 lrate =  1.0000000000 LL =  -2.6625148256 nd =  0.0015742328, D =   0.35393E-02  0.35393E-02  (  2.44 s,   1.3 h)
 iter    66 lrate =  1.0000000000 LL =  -2.6624254824 nd =  0.0014575573, D =   0.34803E-02  0.34803E-02  (  2.46 s,   1.3 h)
 iter    67 lrate =  1.0000000000 LL =  -2.6623477418 nd =  0.0013586381, D =   0.34424E-02  0.34424E-02  (  2.43 s,   1.3 h)
 iter    68 lrate =  1.0000000000 LL =  -2.6622788647 nd =  0.0012789762, D =   0.34191E-02  0.34191E-02  (  2.63 s,   1.4 h)
 iter    69 lrate =  1.0000000000 LL =  -2.6622171239 nd =  0.0012113349, D =   0.34075E-02  0.34075E-02  (  2.46 s,   1.3 h)
 iter    70 lrate =  1.0000000000 LL =  -2.6621607657 nd =  0.0011547804, D =   0.34022E-02  0.34022E-02  (  2.42 s,   1.3 h)
 iter    71 lrate =  1.0000000000 LL =  -2.6621087105 nd =  0.0011050949, D =   0.34045E-02  0.34045E-02  (  2.44 s,   1.3 h)
 iter    72 lrate =  1.0000000000 LL =  -2.6620602681 nd =  0.0010584041, D =   0.34122E-02  0.34122E-02  (  2.45 s,   1.3 h)
 iter    73 lrate =  1.0000000000 LL =  -2.6620149457 nd =  0.0010204696, D =   0.34268E-02  0.34268E-02  (  2.44 s,   1.3 h)
 iter    74 lrate =  1.0000000000 LL =  -2.6619725194 nd =  0.0009845388, D =   0.34446E-02  0.34446E-02  (  2.48 s,   1.3 h)
 iter    75 lrate =  1.0000000000 LL =  -2.6619319922 nd =  0.0009498108, D =   0.34682E-02  0.34682E-02  (  2.44 s,   1.3 h)
 iter    76 lrate =  1.0000000000 LL =  -2.6618940704 nd =  0.0009196968, D =   0.34982E-02  0.34982E-02  (  2.46 s,   1.3 h)
 iter    77 lrate =  1.0000000000 LL =  -2.6618578656 nd =  0.0008915171, D =   0.35347E-02  0.35347E-02  (  2.42 s,   1.3 h)
 iter    78 lrate =  1.0000000000 LL =  -2.6618234509 nd =  0.0008659377, D =   0.35761E-02  0.35761E-02  (  2.42 s,   1.3 h)
 iter    79 lrate =  1.0000000000 LL =  -2.6617904271 nd =  0.0008434164, D =   0.36230E-02  0.36230E-02  (  2.44 s,   1.3 h)
 iter    80 lrate =  1.0000000000 LL =  -2.6617587114 nd =  0.0008196333, D =   0.36751E-02  0.36751E-02  (  2.45 s,   1.3 h)
 iter    81 lrate =  1.0000000000 LL =  -2.6617281078 nd =  0.0007982218, D =   0.37307E-02  0.37307E-02  (  2.89 s,   1.5 h)
 iter    82 lrate =  1.0000000000 LL =  -2.6616985917 nd =  0.0007789462, D =   0.37912E-02  0.37912E-02  (  2.46 s,   1.3 h)
 iter    83 lrate =  1.0000000000 LL =  -2.6616702571 nd =  0.0007597043, D =   0.38599E-02  0.38599E-02  (  2.41 s,   1.3 h)
 iter    84 lrate =  1.0000000000 LL =  -2.6616426986 nd =  0.0007414780, D =   0.39328E-02  0.39328E-02  (  2.47 s,   1.3 h)
 iter    85 lrate =  1.0000000000 LL =  -2.6616161864 nd =  0.0007249270, D =   0.40116E-02  0.40116E-02  (  2.42 s,   1.3 h)
 iter    86 lrate =  1.0000000000 LL =  -2.6615905863 nd =  0.0007092412, D =   0.40954E-02  0.40954E-02  (  2.42 s,   1.3 h)
 iter    87 lrate =  1.0000000000 LL =  -2.6615655348 nd =  0.0006938807, D =   0.41840E-02  0.41840E-02  (  2.44 s,   1.3 h)
 iter    88 lrate =  1.0000000000 LL =  -2.6615410471 nd =  0.0006800310, D =   0.42756E-02  0.42756E-02  (  2.43 s,   1.3 h)
 iter    89 lrate =  1.0000000000 LL =  -2.6615172507 nd =  0.0006672191, D =   0.43728E-02  0.43728E-02  (  2.45 s,   1.3 h)
 iter    90 lrate =  1.0000000000 LL =  -2.6614939325 nd =  0.0006536916, D =   0.44738E-02  0.44738E-02  (  2.43 s,   1.3 h)
 iter    91 lrate =  1.0000000000 LL =  -2.6614712282 nd =  0.0006402119, D =   0.45774E-02  0.45774E-02  (  2.43 s,   1.3 h)
 iter    92 lrate =  1.0000000000 LL =  -2.6614489367 nd =  0.0006278543, D =   0.46831E-02  0.46831E-02  (  2.42 s,   1.3 h)
 iter    93 lrate =  1.0000000000 LL =  -2.6614272593 nd =  0.0006147234, D =   0.47886E-02  0.47886E-02  (  2.57 s,   1.4 h)
 iter    94 lrate =  1.0000000000 LL =  -2.6614061229 nd =  0.0006036869, D =   0.48965E-02  0.48965E-02  (  2.43 s,   1.3 h)
 iter    95 lrate =  1.0000000000 LL =  -2.6613856227 nd =  0.0005893282, D =   0.50072E-02  0.50072E-02  (  2.41 s,   1.3 h)
 iter    96 lrate =  1.0000000000 LL =  -2.6613656583 nd =  0.0005794658, D =   0.51133E-02  0.51133E-02  (  2.41 s,   1.3 h)
 iter    97 lrate =  1.0000000000 LL =  -2.6613461529 nd =  0.0005694778, D =   0.52225E-02  0.52225E-02  (  2.45 s,   1.3 h)
