SOA,Participant,Condition,StimulusType,MeanAmplitude,Electrode
100,100_0,random,B,1.458005922359007e-06,FZ
100,100_1,random,B,2.571833208619978e-08,FZ
100,100_2,random,B,1.9647857534721425e-07,FZ
100,100_3,random,B,-4.0504627285997685e-07,FZ
100,100_4,random,B,-1.272691051781294e-06,FZ
100,100_5,random,B,2.706421656029079e-07,FZ
100,100_6,random,B,-4.913438974085694e-07,FZ
100,100_7,random,B,1.3005959499423626e-06,FZ
100,100_8,random,B,3.499203176033916e-06,FZ
100,100_9,random,B,2.675966317866596e-07,FZ
100,100_10,random,B,8.132622929224454e-07,FZ
100,100_11,random,B,1.587776667122398e-07,FZ
100,100_12,random,B,-1.0644733197295863e-06,FZ
100,100_13,random,B,2.604937307637556e-07,FZ
100,100_14,random,B,-1.819275594172609e-07,FZ
100,100_15,random,B,1.17867356948409e-06,FZ
100,100_16,random,B,-1.2560205159672933e-06,FZ
100,100_17,random,B,1.892765789079931e-07,FZ
100,100_18,random,B,2.1371897389599327e-07,FZ
100,100_19,random,B,2.3224772075991494e-06,FZ
100,100_0,random,B,1.110027385493595e-06,CZ
100,100_1,random,B,2.659598716547862e-07,CZ
100,100_2,random,B,-1.5910237578964371e-07,CZ
100,100_3,random,B,-5.213983537455391e-07,CZ
100,100_4,random,B,-2.1588056824839442e-07,CZ
100,100_5,random,B,-5.2986590048931245e-09,CZ
100,100_6,random,B,-2.497157942116246e-07,CZ
100,100_7,random,B,1.48986424846953e-06,CZ
100,100_8,random,B,3.616744070313871e-06,CZ
100,100_9,random,B,3.6632951950110737e-07,CZ
100,100_10,random,B,6.908660839144431e-07,CZ
100,100_11,random,B,6.120816146371056e-08,CZ
100,100_12,random,B,-1.0538773199186834e-06,CZ
100,100_13,random,B,1.0654904192719527e-07,CZ
100,100_14,random,B,-5.1717776123894055e-08,CZ
100,100_15,random,B,1.4092269475440844e-06,CZ
100,100_16,random,B,-8.779369329303677e-07,CZ
100,100_17,random,B,1.273637908472125e-07,CZ
100,100_18,random,B,-4.7117697560494775e-07,CZ
100,100_19,random,B,2.4408639046669124e-06,CZ
100,100_0,random,B,1.2250198983565497e-06,M1
100,100_1,random,B,1.0932896465476461e-07,M1
100,100_2,random,B,2.06812278236157e-07,M1
100,100_3,random,B,3.909342919428127e-07,M1
100,100_4,random,B,1.3086220860714092e-07,M1
100,100_5,random,B,-7.809462817931489e-07,M1
100,100_6,random,B,1.7759669390216005e-06,M1
100,100_7,random,B,4.397667943578654e-07,M1
100,100_8,random,B,3.2113288307300537e-06,M1
100,100_9,random,B,-4.0018463707269805e-08,M1
100,100_10,random,B,9.544708517505995e-07,M1
100,100_11,random,B,-4.1403969831321773e-07,M1
100,100_12,random,B,1.536585086796549e-06,M1
100,100_13,random,B,-6.38116958810997e-07,M1
100,100_14,random,B,-8.190802629925998e-08,M1
100,100_15,random,B,-1.6015790674828169e-06,M1
100,100_16,random,B,-1.1642339575956839e-07,M1
100,100_17,random,B,3.1790268263165443e-07,M1
100,100_18,random,B,-7.385446087937453e-07,M1
100,100_19,random,B,-1.4234509581001474e-06,M1
100,100_0,random,B,-5.250343841112226e-07,M2
100,100_1,random,B,5.397827499109553e-07,M2
100,100_2,random,B,-1.6149172793689104e-07,M2
100,100_3,random,B,4.5319585524339344e-07,M2
100,100_4,random,B,2.682164417677768e-07,M2
100,100_5,random,B,5.707742646166025e-07,M2
100,100_6,random,B,2.4794818500595284e-06,M2
100,100_7,random,B,-1.2521248578423184e-07,M2
100,100_8,random,B,9.168792917080282e-07,M2
100,100_9,random,B,1.8885051389361253e-08,M2
100,100_10,random,B,1.3705016053222607e-06,M2
100,100_11,random,B,-1.8959502949655871e-06,M2
100,100_12,random,B,1.3713123485104007e-06,M2
100,100_13,random,B,-7.850967790545837e-07,M2
100,100_14,random,B,5.200223506562906e-07,M2
100,100_15,random,B,-5.100867227270101e-07,M2
100,100_16,random,B,-2.8815777483259806e-07,M2
100,100_17,random,B,9.484458939823525e-07,M2
100,100_18,random,B,-8.501197771693114e-07,M2
100,100_19,random,B,5.691016366426993e-07,M2
100,100_0,random,B,1.3291167911120283e-06,fronto_pooled
100,100_1,random,B,-8.828900426305353e-09,fronto_pooled
100,100_2,random,B,1.0508471193659829e-07,fronto_pooled
100,100_3,random,B,-4.168860174758038e-07,fronto_pooled
100,100_4,random,B,-1.0792845348532864e-06,fronto_pooled
100,100_5,random,B,1.5065824240423353e-07,fronto_pooled
100,100_6,random,B,-5.107570356059909e-07,fronto_pooled
100,100_7,random,B,1.330349440650025e-06,fronto_pooled
100,100_8,random,B,3.4957110437972005e-06,fronto_pooled
100,100_9,random,B,2.506858042625737e-07,fronto_pooled
100,100_10,random,B,8.623756552879058e-07,fronto_pooled
100,100_11,random,B,5.1569542971918735e-08,fronto_pooled
100,100_12,random,B,-8.063077574433919e-07,fronto_pooled
100,100_13,random,B,9.571479208281275e-08,fronto_pooled
100,100_14,random,B,-5.388811559126072e-08,fronto_pooled
100,100_15,random,B,1.4332910031953362e-06,fronto_pooled
100,100_16,random,B,-1.1356821604806555e-06,fronto_pooled
100,100_17,random,B,-3.162544575374682e-08,fronto_pooled
100,100_18,random,B,2.6932191929063265e-08,fronto_pooled
100,100_19,random,B,2.0731803933813353e-06,fronto_pooled
100,100_0,random,B,3.499927571226635e-07,mastoids_pooled
100,100_1,random,B,3.2455585728286e-07,mastoids_pooled
100,100_2,random,B,2.266027514963298e-08,mastoids_pooled
100,100_3,random,B,4.220650735931031e-07,mastoids_pooled
100,100_4,random,B,1.9953932518745886e-07,mastoids_pooled
100,100_5,random,B,-1.0508600858827322e-07,mastoids_pooled
100,100_6,random,B,2.1277243945405643e-06,mastoids_pooled
100,100_7,random,B,1.5727715428681678e-07,mastoids_pooled
100,100_8,random,B,2.0641040612190407e-06,mastoids_pooled
100,100_9,random,B,-1.0566706158954276e-08,mastoids_pooled
100,100_10,random,B,1.16248622853643e-06,mastoids_pooled
100,100_11,random,B,-1.1549949966394023e-06,mastoids_pooled
100,100_12,random,B,1.4539487176534749e-06,mastoids_pooled
100,100_13,random,B,-7.116068689327904e-07,mastoids_pooled
100,100_14,random,B,2.1905716217851535e-07,mastoids_pooled
100,100_15,random,B,-1.0558328951049134e-06,mastoids_pooled
100,100_16,random,B,-2.0229058529608322e-07,mastoids_pooled
100,100_17,random,B,6.331742883070035e-07,mastoids_pooled
100,100_18,random,B,-7.943321929815284e-07,mastoids_pooled
100,100_19,random,B,-4.2717466072872415e-07,mastoids_pooled
100,100_0,random,A,7.437521708197892e-07,FZ
100,100_1,random,A,2.2201812143407552e-07,FZ
100,100_2,random,A,6.648308777812417e-07,FZ
100,100_3,random,A,-1.0068451388178801e-08,FZ
100,100_4,random,A,8.13958585013097e-07,FZ
100,100_5,random,A,3.240933656911693e-07,FZ
100,100_6,random,A,5.593576043860792e-07,FZ
100,100_7,random,A,1.2057047911184782e-06,FZ
100,100_8,random,A,-3.540605567309285e-07,FZ
100,100_9,random,A,3.7283003891275256e-07,FZ
100,100_10,random,A,1.1483430739644973e-06,FZ
100,100_11,random,A,7.059653682972566e-07,FZ
100,100_12,random,A,1.1380367714863837e-07,FZ
100,100_13,random,A,-1.462442436850342e-07,FZ
100,100_14,random,A,2.531045672071741e-07,FZ
100,100_15,random,A,3.336565312572759e-07,FZ
100,100_16,random,A,7.685406353630242e-07,FZ
100,100_17,random,A,1.7636921199937207e-07,FZ
100,100_18,random,A,1.2843541625784382e-07,FZ
100,100_19,random,A,1.131193068886205e-06,FZ
100,100_0,random,A,7.863833320698177e-07,CZ
100,100_1,random,A,2.5023537517654406e-07,CZ
100,100_2,random,A,4.81237454721395e-07,CZ
100,100_3,random,A,-2.1402628888722575e-07,CZ
100,100_4,random,A,8.505119058099808e-07,CZ
100,100_5,random,A,1.1142613406178725e-07,CZ
100,100_6,random,A,1.0393828517862858e-06,CZ
100,100_7,random,A,1.108717179931773e-06,CZ
100,100_8,random,A,-4.983369608524412e-07,CZ
100,100_9,random,A,5.944166115767757e-07,CZ
100,100_10,random,A,1.0500959774617514e-06,CZ
100,100_11,random,A,2.1490372617449793e-07,CZ
100,100_12,random,A,-2.4438608399179886e-08,CZ
100,100_13,random,A,3.027292316915009e-07,CZ
100,100_14,random,A,1.9861908995721933e-07,CZ
100,100_15,random,A,3.2918696810213535e-07,CZ
100,100_16,random,A,5.031861905990809e-07,CZ
100,100_17,random,A,2.660381303343229e-07,CZ
100,100_18,random,A,3.100313879467187e-07,CZ
100,100_19,random,A,9.178591460567986e-07,CZ
100,100_0,random,A,-9.480286036023245e-07,M1
100,100_1,random,A,1.5415536316121248e-07,M1
100,100_2,random,A,-6.542448227264686e-07,M1
100,100_3,random,A,-1.965722422170302e-08,M1
100,100_4,random,A,-1.3194141189387666e-07,M1
100,100_5,random,A,-3.328362705712351e-07,M1
100,100_6,random,A,4.849906601123166e-07,M1
100,100_7,random,A,-6.505871738227143e-08,M1
100,100_8,random,A,-6.261184410050191e-07,M1
100,100_9,random,A,-2.2602198363586012e-07,M1
