SOA,Participant,Condition,StimulusType,MeanAmplitude,Electrode
100,100_0,random,B,1.2538212899926292e-06,FZ
100,100_1,random,B,-1.0555782996135577e-07,FZ
100,100_2,random,B,-3.4312002753722482e-06,FZ
100,100_3,random,B,-5.339552657801505e-07,FZ
100,100_4,random,B,1.668963373049337e-06,FZ
100,100_5,random,B,9.069292744356972e-08,FZ
100,100_6,random,B,1.3755840245721628e-06,FZ
100,100_7,random,B,1.2421249593330685e-07,FZ
100,100_8,random,B,-2.1091069676959506e-07,FZ
100,100_9,random,B,4.967032484159972e-07,FZ
100,100_10,random,B,9.315130478171341e-07,FZ
100,100_11,random,B,-1.003028704857911e-06,FZ
100,100_12,random,B,1.640035152377095e-06,FZ
100,100_13,random,B,2.9607400755082834e-07,FZ
100,100_14,random,B,-1.398164420862713e-07,FZ
100,100_15,random,B,1.2649389077523666e-06,FZ
100,100_16,random,B,-8.243665142799727e-06,FZ
100,100_17,random,B,5.847451541285408e-07,FZ
100,100_18,random,B,-7.335816826525842e-07,FZ
100,100_19,random,B,3.4997076060250264e-07,FZ
100,100_0,random,B,2.030315586125653e-06,CZ
100,100_1,random,B,-8.911649306941883e-08,CZ
100,100_2,random,B,-1.335554223658164e-07,CZ
100,100_3,random,B,-1.1830223443087817e-08,CZ
100,100_4,random,B,8.651609709886543e-07,CZ
100,100_5,random,B,-1.1556722952832387e-07,CZ
100,100_6,random,B,7.052955692188334e-07,CZ
100,100_7,random,B,1.1104844611509178e-06,CZ
100,100_8,random,B,3.0590998619572927e-07,CZ
100,100_9,random,B,2.928134609447852e-07,CZ
100,100_10,random,B,2.441919577904628e-06,CZ
100,100_11,random,B,-5.446873743153446e-07,CZ
100,100_12,random,B,9.408831465407274e-07,CZ
100,100_13,random,B,-8.897255588635744e-07,CZ
100,100_14,random,B,5.017050422218006e-08,CZ
100,100_15,random,B,7.213696461860764e-07,CZ
100,100_16,random,B,-8.01219424829469e-06,CZ
100,100_17,random,B,6.503038764549273e-07,CZ
100,100_18,random,B,-3.111125806398718e-07,CZ
100,100_19,random,B,-6.943086214761252e-07,CZ
100,100_0,random,B,1.1557578937981816e-06,M1
100,100_1,random,B,8.758350463722309e-07,M1
100,100_2,random,B,-3.6515936881187374e-06,M1
100,100_3,random,B,7.505412440877989e-07,M1
100,100_4,random,B,2.705538994973722e-07,M1
100,100_5,random,B,-5.739553319017432e-07,M1
100,100_6,random,B,1.7012741454891512e-06,M1
100,100_7,random,B,-3.978298364017973e-06,M1
100,100_8,random,B,-9.496425764154993e-07,M1
100,100_9,random,B,1.776978732692669e-07,M1
100,100_10,random,B,-8.355949523775052e-07,M1
100,100_11,random,B,-1.715940969006624e-05,M1
100,100_12,random,B,-3.0576490644307343e-06,M1
100,100_13,random,B,-1.0237137234980765e-06,M1
100,100_14,random,B,-4.735750599138555e-07,M1
100,100_15,random,B,-5.069979451945983e-06,M1
100,100_16,random,B,-8.935516962083057e-06,M1
100,100_17,random,B,4.410242565189293e-07,M1
100,100_18,random,B,1.3158604360796745e-06,M1
100,100_19,random,B,-1.3838042991665134e-06,M1
100,100_0,random,B,2.3072926933309646e-06,M2
100,100_1,random,B,3.763992368988056e-07,M2
100,100_2,random,B,-3.707304463773653e-07,M2
100,100_3,random,B,1.3633502430820955e-06,M2
100,100_4,random,B,-5.574089617255141e-07,M2
100,100_5,random,B,5.912920526895959e-07,M2
100,100_6,random,B,6.305550685681283e-07,M2
100,100_7,random,B,-1.7771836110114236e-06,M2
100,100_8,random,B,2.328523871497623e-07,M2
100,100_9,random,B,-3.1740569284011144e-06,M2
100,100_10,random,B,-6.252301068343513e-07,M2
100,100_11,random,B,-1.0058542138722259e-05,M2
100,100_12,random,B,-3.4093984686478505e-06,M2
100,100_13,random,B,3.8740939203307787e-07,M2
100,100_14,random,B,-6.484048594757041e-07,M2
100,100_15,random,B,-4.4810141480411404e-06,M2
100,100_16,random,B,-1.0100260660692583e-05,M2
100,100_17,random,B,3.1099070201889846e-06,M2
100,100_18,random,B,-5.942971154127008e-07,M2
100,100_19,random,B,-2.4396367635404205e-07,M2
100,100_0,random,B,1.2904895347674029e-06,fronto_pooled
100,100_1,random,B,4.8939589986973787e-08,fronto_pooled
100,100_2,random,B,-3.05110416138632e-06,fronto_pooled
100,100_3,random,B,-4.8393269146918e-07,fronto_pooled
100,100_4,random,B,1.116076832431645e-06,fronto_pooled
100,100_5,random,B,-3.692996082236277e-07,fronto_pooled
100,100_6,random,B,1.3221110739323195e-06,fronto_pooled
100,100_7,random,B,7.309380073081683e-07,fronto_pooled
100,100_8,random,B,5.774521100576635e-08,fronto_pooled
100,100_9,random,B,4.145232839007917e-07,fronto_pooled
100,100_10,random,B,1.1291602856999816e-06,fronto_pooled
100,100_11,random,B,-1.6159766057484148e-06,fronto_pooled
100,100_12,random,B,1.8758941869236877e-06,fronto_pooled
100,100_13,random,B,-1.7379742143930344e-07,fronto_pooled
100,100_14,random,B,3.868296809628191e-08,fronto_pooled
100,100_15,random,B,1.254080081707798e-06,fronto_pooled
100,100_16,random,B,-8.041097345994785e-06,fronto_pooled
100,100_17,random,B,7.301001244144345e-07,fronto_pooled
100,100_18,random,B,1.01753123615822e-08,fronto_pooled
100,100_19,random,B,1.7754996096996934e-07,fronto_pooled
100,100_0,random,B,1.731525293564573e-06,mastoids_pooled
100,100_1,random,B,6.261171416355183e-07,mastoids_pooled
100,100_2,random,B,-2.011162067248051e-06,mastoids_pooled
100,100_3,random,B,1.0569457435849472e-06,mastoids_pooled
100,100_4,random,B,-1.434275311140709e-07,mastoids_pooled
100,100_5,random,B,8.668360393926378e-09,mastoids_pooled
100,100_6,random,B,1.1659146070286397e-06,mastoids_pooled
100,100_7,random,B,-2.877740987514699e-06,mastoids_pooled
100,100_8,random,B,-3.5839509463286847e-07,mastoids_pooled
100,100_9,random,B,-1.4981795275659237e-06,mastoids_pooled
100,100_10,random,B,-7.304125296059283e-07,mastoids_pooled
100,100_11,random,B,-1.360897591439425e-05,mastoids_pooled
100,100_12,random,B,-3.2335237665392924e-06,mastoids_pooled
100,100_13,random,B,-3.1815216573249926e-07,mastoids_pooled
100,100_14,random,B,-5.609899596947798e-07,mastoids_pooled
100,100_15,random,B,-4.775496799993561e-06,mastoids_pooled
100,100_16,random,B,-9.51788881138782e-06,mastoids_pooled
100,100_17,random,B,1.775465638353957e-06,mastoids_pooled
100,100_18,random,B,3.607816603334868e-07,mastoids_pooled
100,100_19,random,B,-8.138839877602777e-07,mastoids_pooled
100,100_0,random,A,1.486960367458323e-07,FZ
100,100_1,random,A,-1.7749314229043023e-07,FZ
100,100_2,random,A,-1.587315136930556e-06,FZ
100,100_3,random,A,-2.201185208861034e-07,FZ
100,100_4,random,A,3.398631855944245e-07,FZ
100,100_5,random,A,-2.7427255222534087e-08,FZ
100,100_6,random,A,1.5075516512297327e-06,FZ
100,100_7,random,A,-1.463822250116209e-06,FZ
100,100_8,random,A,-8.529108151833498e-07,FZ
100,100_9,random,A,3.66176678028296e-07,FZ
100,100_10,random,A,1.3329997955224825e-06,FZ
100,100_11,random,A,-1.0764241187644074e-06,FZ
100,100_12,random,A,3.2785370251531277e-07,FZ
100,100_13,random,A,8.30462554404221e-07,FZ
100,100_14,random,A,-3.5227441031793204e-07,FZ
100,100_15,random,A,9.226754491464817e-07,FZ
100,100_16,random,A,-7.0513042010134086e-06,FZ
100,100_17,random,A,1.92825767044269e-06,FZ
100,100_18,random,A,-6.050031095128361e-07,FZ
100,100_19,random,A,1.1936442865589924e-06,FZ
100,100_0,random,A,2.6106602604158977e-07,CZ
100,100_1,random,A,-9.323641518221847e-07,CZ
100,100_2,random,A,-1.1926781279036902e-07,CZ
100,100_3,random,A,2.0668107502785916e-07,CZ
100,100_4,random,A,2.3448836017792018e-07,CZ
100,100_5,random,A,7.935050166452129e-07,CZ
100,100_6,random,A,1.0738107027918886e-06,CZ
100,100_7,random,A,-6.139562350426786e-07,CZ
100,100_8,random,A,-8.789351454652205e-07,CZ
100,100_9,random,A,7.528291440905833e-07,CZ
100,100_10,random,A,1.9369454275874887e-06,CZ
100,100_11,random,A,-1.056415421771817e-06,CZ
100,100_12,random,A,5.359209785638086e-07,CZ
100,100_13,random,A,7.550915074716613e-07,CZ
100,100_14,random,A,-1.476768408359419e-07,CZ
100,100_15,random,A,3.327173625677915e-07,CZ
100,100_16,random,A,-6.923026394360931e-06,CZ
100,100_17,random,A,1.2163264977971266e-06,CZ
100,100_18,random,A,-1.7967916128638904e-07,CZ
100,100_19,random,A,2.0626384667821184e-07,CZ
100,100_0,random,A,9.059526769306103e-07,M1
100,100_1,random,A,9.365866196731077e-07,M1
100,100_2,random,A,-5.5352361778204795e-06,M1
100,100_3,random,A,9.077204049390275e-07,M1
100,100_4,random,A,-1.521822873655765e-06,M1
100,100_5,random,A,3.6303020358730007e-07,M1
100,100_6,random,A,1.5198456230791635e-06,M1
100,100_7,random,A,-1.743100472140213e-07,M1
100,100_8,random,A,-3.4276926385246043e-07,M1
100,100_9,random,A,-2.0366425239615183e-07,M1
100,100_10,random,A,-2.44653909248882e-06,M1
100,100_11,random,A,-7.568899072794011e-06,M1
100,100_12,random,A,-2.3053158544783515e-07,M1
100,100_13,random,A,-2.3122224865801398e-06,M1
100,100_14,random,A,-3.8371061407360684e-07,M1
100,100_15,random,A,-2.767166752164485e-06,M1
100,100_16,random,A,-7.578947788715595e-06,M1
100,100_17,random,A,6.793542979721678e-07,M1
100,100_18,random,A,5.114491956703659e-07,M1
100,100_19,random,A,1.4610749319743376e-07,M1
100,100_0,random,A,-9.330497459814069e-07,M2
100,100_1,random,A,6.95972236144371e-07,M2
100,100_2,random,A,-2.058215764009219e-06,M2
100,100_3,random,A,3.620476672949735e-07,M2
100,100_4,random,A,-1.3178079234421603e-06,M2
