SOA,Participant,Condition,StimulusType,MeanAmplitude,Electrode
100,100_0,random,B,-2.413622180386099e-07,FZ
100,100_1,random,B,4.974335375607097e-08,FZ
100,100_2,random,B,-1.6642494210827864e-06,FZ
100,100_3,random,B,-6.148630745883565e-07,FZ
100,100_4,random,B,-1.6195869693547139e-06,FZ
100,100_5,random,B,-1.290741601422951e-07,FZ
100,100_6,random,B,9.747160856932168e-07,FZ
100,100_7,random,B,-1.5033137901809823e-06,FZ
100,100_8,random,B,-4.626255849871086e-07,FZ
100,100_9,random,B,-5.207579525290385e-07,FZ
100,100_10,random,B,-3.06428467808928e-07,FZ
100,100_11,random,B,-9.775691432878374e-07,FZ
100,100_12,random,B,-8.02040130736259e-07,FZ
100,100_13,random,B,-5.765339538754688e-07,FZ
100,100_14,random,B,2.5207370697444275e-07,FZ
100,100_15,random,B,5.52314112383101e-07,FZ
100,100_16,random,B,-7.978054327395512e-06,FZ
100,100_17,random,B,-3.5170966199871146e-07,FZ
100,100_18,random,B,1.380665940509118e-07,FZ
100,100_19,random,B,6.297760455709067e-07,FZ
100,100_0,random,B,-7.357436944310791e-07,CZ
100,100_1,random,B,-5.537522514131865e-07,CZ
100,100_2,random,B,-2.0227457753208e-06,CZ
100,100_3,random,B,2.449686339645041e-07,CZ
100,100_4,random,B,-1.063930360487575e-06,CZ
100,100_5,random,B,7.903822552179918e-07,CZ
100,100_6,random,B,6.072319802186144e-07,CZ
100,100_7,random,B,-1.946009983839758e-06,CZ
100,100_8,random,B,-6.248158638300083e-07,CZ
100,100_9,random,B,-4.807706282861091e-08,CZ
100,100_10,random,B,-1.869845331725628e-07,CZ
100,100_11,random,B,-5.31829682870466e-07,CZ
100,100_12,random,B,-6.894573058957576e-07,CZ
100,100_13,random,B,-4.2417427799534833e-07,CZ
100,100_14,random,B,1.9158074771041812e-08,CZ
100,100_15,random,B,-1.0120796062551562e-07,CZ
100,100_16,random,B,-7.640599778824254e-06,CZ
100,100_17,random,B,-2.1908922802182927e-07,CZ
100,100_18,random,B,-3.9310187844421306e-07,CZ
100,100_19,random,B,1.7228344702857613e-07,CZ
100,100_0,random,B,-3.3522126039464696e-08,M1
100,100_1,random,B,-7.677745702494576e-07,M1
100,100_2,random,B,-3.894884202964022e-06,M1
100,100_3,random,B,2.4033066529227652e-06,M1
100,100_4,random,B,1.708822392174625e-06,M1
100,100_5,random,B,8.808318284536654e-07,M1
100,100_6,random,B,1.909610828079167e-06,M1
100,100_7,random,B,3.2771678525023164e-06,M1
100,100_8,random,B,-3.845646246247725e-07,M1
100,100_9,random,B,-5.978799315631278e-08,M1
100,100_10,random,B,-3.0953834624369846e-07,M1
100,100_11,random,B,-4.743551417050185e-06,M1
100,100_12,random,B,1.731703775931237e-06,M1
100,100_13,random,B,-2.7458599379315275e-06,M1
100,100_14,random,B,8.228826118283905e-07,M1
100,100_15,random,B,-1.4759379291717778e-06,M1
100,100_16,random,B,-7.0366477484640196e-06,M1
100,100_17,random,B,9.022325855312375e-08,M1
100,100_18,random,B,-7.85948975590145e-07,M1
100,100_19,random,B,9.651974039570633e-07,M1
100,100_0,random,B,-1.3950882294011535e-06,M2
100,100_1,random,B,2.7015021324350297e-07,M2
100,100_2,random,B,-2.3763417357258733e-06,M2
100,100_3,random,B,1.1962375174334739e-06,M2
100,100_4,random,B,8.386749414590611e-07,M2
100,100_5,random,B,-4.957752224754586e-08,M2
100,100_6,random,B,2.861506118279067e-06,M2
100,100_7,random,B,2.5223661396012175e-06,M2
100,100_8,random,B,-1.6354582939470675e-07,M2
100,100_9,random,B,1.2618224582183758e-06,M2
100,100_10,random,B,-6.093795171224769e-07,M2
100,100_11,random,B,-2.809279058055836e-06,M2
100,100_12,random,B,1.6459629148357635e-06,M2
100,100_13,random,B,-3.034573792319861e-06,M2
100,100_14,random,B,4.7162350256257925e-07,M2
100,100_15,random,B,-1.4622883372794604e-06,M2
100,100_16,random,B,-6.8723448930541054e-06,M2
100,100_17,random,B,1.4392376670002705e-06,M2
100,100_18,random,B,-6.950439171760081e-07,M2
100,100_19,random,B,1.4750881337022292e-06,M2
100,100_0,random,B,-3.283995721341526e-07,fronto_pooled
100,100_1,random,B,9.694365600410037e-08,fronto_pooled
100,100_2,random,B,-1.7215082141319727e-06,fronto_pooled
100,100_3,random,B,-2.9809058155239045e-07,fronto_pooled
100,100_4,random,B,-1.2559030741954302e-06,fronto_pooled
100,100_5,random,B,2.569882054421768e-07,fronto_pooled
100,100_6,random,B,8.695538649643453e-07,fronto_pooled
100,100_7,random,B,-1.368292220078615e-06,fronto_pooled
100,100_8,random,B,-4.513673463009127e-07,fronto_pooled
100,100_9,random,B,-4.4221124837662273e-07,fronto_pooled
100,100_10,random,B,-2.3843720978611317e-07,fronto_pooled
100,100_11,random,B,-8.92045235787009e-07,fronto_pooled
100,100_12,random,B,-5.738303572897507e-07,fronto_pooled
100,100_13,random,B,-9.313140746058935e-07,fronto_pooled
100,100_14,random,B,1.0969542546668265e-07,fronto_pooled
100,100_15,random,B,6.18082908431461e-07,fronto_pooled
100,100_16,random,B,-7.836758657504105e-06,fronto_pooled
100,100_17,random,B,-5.24260628594675e-07,fronto_pooled
100,100_18,random,B,-8.956690608741269e-08,fronto_pooled
100,100_19,random,B,5.586163015323109e-07,fronto_pooled
100,100_0,random,B,-7.143051777203091e-07,mastoids_pooled
100,100_1,random,B,-2.488121785029773e-07,mastoids_pooled
100,100_2,random,B,-3.1356129693449474e-06,mastoids_pooled
100,100_3,random,B,1.7997720851781196e-06,mastoids_pooled
100,100_4,random,B,1.273748666816843e-06,mastoids_pooled
100,100_5,random,B,4.1562715310305974e-07,mastoids_pooled
100,100_6,random,B,2.3855584731791167e-06,mastoids_pooled
100,100_7,random,B,2.8997669960517667e-06,mastoids_pooled
100,100_8,random,B,-2.740552270097396e-07,mastoids_pooled
100,100_9,random,B,6.010172325310314e-07,mastoids_pooled
100,100_10,random,B,-4.594589316830877e-07,mastoids_pooled
100,100_11,random,B,-3.77641523755301e-06,mastoids_pooled
100,100_12,random,B,1.6888333453835003e-06,mastoids_pooled
100,100_13,random,B,-2.890216865125694e-06,mastoids_pooled
100,100_14,random,B,6.472530571954848e-07,mastoids_pooled
100,100_15,random,B,-1.469113133225619e-06,mastoids_pooled
100,100_16,random,B,-6.954496320759063e-06,mastoids_pooled
100,100_17,random,B,7.64730462776697e-07,mastoids_pooled
100,100_18,random,B,-7.404964463830765e-07,mastoids_pooled
100,100_19,random,B,1.2201427688296462e-06,mastoids_pooled
100,100_0,random,A,1.486960367458323e-07,FZ
100,100_1,random,A,-1.7749314229043023e-07,FZ
100,100_2,random,A,-1.587315136930556e-06,FZ
100,100_3,random,A,-2.201185208861034e-07,FZ
100,100_4,random,A,3.398631855944245e-07,FZ
100,100_5,random,A,-2.7427255222534087e-08,FZ
100,100_6,random,A,1.5075516512297327e-06,FZ
100,100_7,random,A,-1.463822250116209e-06,FZ
100,100_8,random,A,-8.529108151833498e-07,FZ
100,100_9,random,A,3.66176678028296e-07,FZ
100,100_10,random,A,1.3329997955224825e-06,FZ
100,100_11,random,A,-1.0764241187644074e-06,FZ
100,100_12,random,A,3.2785370251531277e-07,FZ
100,100_13,random,A,8.30462554404221e-07,FZ
100,100_14,random,A,-3.5227441031793204e-07,FZ
100,100_15,random,A,9.226754491464817e-07,FZ
100,100_16,random,A,-7.0513042010134086e-06,FZ
100,100_17,random,A,1.92825767044269e-06,FZ
100,100_18,random,A,-6.050031095128361e-07,FZ
100,100_19,random,A,1.1936442865589924e-06,FZ
100,100_0,random,A,2.6106602604158977e-07,CZ
100,100_1,random,A,-9.323641518221847e-07,CZ
100,100_2,random,A,-1.1926781279036902e-07,CZ
100,100_3,random,A,2.0668107502785916e-07,CZ
100,100_4,random,A,2.3448836017792018e-07,CZ
100,100_5,random,A,7.935050166452129e-07,CZ
100,100_6,random,A,1.0738107027918886e-06,CZ
100,100_7,random,A,-6.139562350426786e-07,CZ
100,100_8,random,A,-8.789351454652205e-07,CZ
100,100_9,random,A,7.528291440905833e-07,CZ
100,100_10,random,A,1.9369454275874887e-06,CZ
100,100_11,random,A,-1.056415421771817e-06,CZ
100,100_12,random,A,5.359209785638086e-07,CZ
100,100_13,random,A,7.550915074716613e-07,CZ
100,100_14,random,A,-1.476768408359419e-07,CZ
100,100_15,random,A,3.327173625677915e-07,CZ
100,100_16,random,A,-6.923026394360931e-06,CZ
100,100_17,random,A,1.2163264977971266e-06,CZ
100,100_18,random,A,-1.7967916128638904e-07,CZ
100,100_19,random,A,2.0626384667821184e-07,CZ
100,100_0,random,A,9.059526769306103e-07,M1
100,100_1,random,A,9.365866196731077e-07,M1
100,100_2,random,A,-5.5352361778204795e-06,M1
100,100_3,random,A,9.077204049390275e-07,M1
100,100_4,random,A,-1.521822873655765e-06,M1
100,100_5,random,A,3.6303020358730007e-07,M1
100,100_6,random,A,1.5198456230791635e-06,M1
100,100_7,random,A,-1.743100472140213e-07,M1
100,100_8,random,A,-3.4276926385246043e-07,M1
100,100_9,random,A,-2.0366425239615183e-07,M1
100,100_10,random,A,-2.44653909248882e-06,M1
100,100_11,random,A,-7.568899072794011e-06,M1
100,100_12,random,A,-2.3053158544783515e-07,M1
100,100_13,random,A,-2.3122224865801398e-06,M1
100,100_14,random,A,-3.8371061407360684e-07,M1
100,100_15,random,A,-2.767166752164485e-06,M1
100,100_16,random,A,-7.578947788715595e-06,M1
100,100_17,random,A,6.793542979721678e-07,M1
100,100_18,random,A,5.114491956703659e-07,M1
100,100_19,random,A,1.4610749319743376e-07,M1
100,100_0,random,A,-9.330497459814069e-07,M2
100,100_1,random,A,6.95972236144371e-07,M2
100,100_2,random,A,-2.058215764009219e-06,M2
100,100_3,random,A,3.620476672949735e-07,M2
100,100_4,random,A,-1.3178079234421603e-06,M2
100,100_5,random,A,-4.454693848288116e-07,M2
100,100_6,random,A,1.0572149312793045e-06,M2
100,100_7,random,A,2.9178091779158424e-07,M2
100,100_8,random,A,2.2188672758716165e-07,M2
100,100_9,random,A,7.332401281701095e-09,M2
100,100_10,random,A,-2.457976906953263e-06,M2
100,100_11,random,A,-4.050254474350367e-06,M2
100,100_12,random,A,5.058285404757612e-08,M2
100,100_13,random,A,-1.710316810203949e-06,M2
100,100_14,random,A,-8.633508663535849e-09,M2
100,100_15,random,A,-2.3899033203633737e-06,M2
