SOA,Participant,Condition,StimulusType,MeanAmplitude,Electrode
100,100_0,random,A-1,-3.328376866562621e-08,FZ
100,100_1,random,A-1,-2.1890262679846729e-07,FZ
100,100_2,random,A-1,-1.355463896288711e-06,FZ
100,100_3,random,A-1,-5.732584099860105e-08,FZ
100,100_4,random,A-1,-7.721917449998727e-07,FZ
100,100_5,random,A-1,1.2560482986145872e-07,FZ
100,100_6,random,A-1,1.1053107277803065e-06,FZ
100,100_7,random,A-1,-2.8502586974354927e-06,FZ
100,100_8,random,A-1,-6.761835079105439e-07,FZ
100,100_9,random,A-1,1.100203188997284e-08,FZ
100,100_10,random,A-1,-7.844393934419713e-07,FZ
100,100_11,random,A-1,-3.298354351954913e-07,FZ
100,100_12,random,A-1,-7.145023118937388e-07,FZ
100,100_13,random,A-1,9.194175632387668e-08,FZ
100,100_14,random,A-1,-8.07461012755084e-07,FZ
100,100_15,random,A-1,6.25667181566314e-07,FZ
100,100_16,random,A-1,-6.214702279976336e-06,FZ
100,100_17,random,A-1,1.5037813591334271e-06,FZ
100,100_18,random,A-1,-5.406886225500784e-07,FZ
100,100_19,random,A-1,5.389876025674312e-07,FZ
100,100_0,random,A-1,4.001377607210088e-07,CZ
100,100_1,random,A-1,-7.501319851144217e-07,CZ
100,100_2,random,A-1,-2.3640846006145466e-07,CZ
100,100_3,random,A-1,6.17261479192166e-07,CZ
100,100_4,random,A-1,-4.898510050566074e-07,CZ
100,100_5,random,A-1,1.376604395773029e-06,CZ
100,100_6,random,A-1,6.961234320490561e-07,CZ
100,100_7,random,A-1,-2.2251086511460016e-06,CZ
100,100_8,random,A-1,-3.0123111985247417e-07,CZ
100,100_9,random,A-1,-1.0207734195688545e-08,CZ
100,100_10,random,A-1,-3.189258813041107e-07,CZ
100,100_11,random,A-1,9.375489113949698e-09,CZ
100,100_12,random,A-1,-5.571120844649613e-08,CZ
100,100_13,random,A-1,1.632582720390019e-07,CZ
100,100_14,random,A-1,-5.06228286667465e-07,CZ
100,100_15,random,A-1,2.2735507883453466e-07,CZ
100,100_16,random,A-1,-5.687635002686875e-06,CZ
100,100_17,random,A-1,3.383911112919691e-07,CZ
100,100_18,random,A-1,-3.4864391825095707e-07,CZ
100,100_19,random,A-1,-7.208432342054039e-07,CZ
100,100_0,random,A-1,3.6171759620629016e-06,M1
100,100_1,random,A-1,1.224057273248036e-06,M1
100,100_2,random,A-1,-6.807774934713962e-06,M1
100,100_3,random,A-1,1.281970739910321e-06,M1
100,100_4,random,A-1,3.5307696407471665e-07,M1
100,100_5,random,A-1,8.515171430190094e-07,M1
100,100_6,random,A-1,1.734142160785268e-06,M1
100,100_7,random,A-1,2.5315065704489827e-06,M1
100,100_8,random,A-1,-4.944970029896467e-08,M1
100,100_9,random,A-1,6.967508386424016e-07,M1
100,100_10,random,A-1,-3.868096271730792e-08,M1
100,100_11,random,A-1,-7.039350712148007e-06,M1
100,100_12,random,A-1,1.948381668626098e-06,M1
100,100_13,random,A-1,-2.364876445426489e-06,M1
100,100_14,random,A-1,-2.4381201679801733e-08,M1
100,100_15,random,A-1,-2.6113714193343187e-06,M1
100,100_16,random,A-1,-6.979381305427524e-06,M1
100,100_17,random,A-1,6.528270660055568e-07,M1
100,100_18,random,A-1,4.472304134139904e-08,M1
100,100_19,random,A-1,9.307951953019255e-07,M1
100,100_0,random,A-1,1.8877798811445245e-06,M2
100,100_1,random,A-1,4.88221340333439e-07,M2
100,100_2,random,A-1,-2.7562329523789232e-06,M2
100,100_3,random,A-1,7.897222849351237e-07,M2
100,100_4,random,A-1,1.2210888408858977e-07,M2
100,100_5,random,A-1,-6.184686492360924e-07,M2
100,100_6,random,A-1,1.6133723511302377e-06,M2
100,100_7,random,A-1,2.080973013107723e-06,M2
100,100_8,random,A-1,4.4101606569313387e-07,M2
100,100_9,random,A-1,8.68001868070678e-07,M2
100,100_10,random,A-1,2.541910092190847e-07,M2
100,100_11,random,A-1,-3.0292317296698455e-06,M2
100,100_12,random,A-1,3.484917424430023e-06,M2
100,100_13,random,A-1,-2.024621494456369e-06,M2
100,100_14,random,A-1,4.048329003580875e-07,M2
100,100_15,random,A-1,-2.26271283281676e-06,M2
100,100_16,random,A-1,-9.89664091321174e-06,M2
100,100_17,random,A-1,2.727305363805499e-06,M2
100,100_18,random,A-1,-1.118385979914649e-07,M2
100,100_19,random,A-1,2.2936551977181808e-06,M2
100,100_0,random,A-1,1.3897058922651694e-07,fronto_pooled
100,100_1,random,A-1,-1.76819023756547e-07,fronto_pooled
100,100_2,random,A-1,-1.3250265578790276e-06,fronto_pooled
100,100_3,random,A-1,1.5883228047441912e-07,fronto_pooled
100,100_4,random,A-1,-5.475959496976657e-07,fronto_pooled
100,100_5,random,A-1,4.7253958908299865e-07,fronto_pooled
100,100_6,random,A-1,9.939672202037286e-07,fronto_pooled
100,100_7,random,A-1,-2.3725276348542935e-06,fronto_pooled
100,100_8,random,A-1,-4.002732548906707e-07,fronto_pooled
100,100_9,random,A-1,-1.343198461212225e-08,fronto_pooled
100,100_10,random,A-1,-6.641999746648253e-07,fronto_pooled
100,100_11,random,A-1,-7.791034221895643e-07,fronto_pooled
100,100_12,random,A-1,-3.082440902915096e-07,fronto_pooled
100,100_13,random,A-1,-9.650240266267929e-08,fronto_pooled
100,100_14,random,A-1,-5.449989290013945e-07,fronto_pooled
100,100_15,random,A-1,9.14961217176824e-07,fronto_pooled
100,100_16,random,A-1,-6.069868322811089e-06,fronto_pooled
100,100_17,random,A-1,1.2474623115679152e-06,fronto_pooled
100,100_18,random,A-1,1.0043767391110236e-09,fronto_pooled
100,100_19,random,A-1,2.811548180829959e-07,fronto_pooled
100,100_0,random,A-1,2.752477921603713e-06,mastoids_pooled
100,100_1,random,A-1,8.561393067907375e-07,mastoids_pooled
100,100_2,random,A-1,-4.782003943546443e-06,mastoids_pooled
100,100_3,random,A-1,1.0358465124227222e-06,mastoids_pooled
100,100_4,random,A-1,2.3759292408165323e-07,mastoids_pooled
100,100_5,random,A-1,1.1652424689145846e-07,mastoids_pooled
100,100_6,random,A-1,1.6737572559577529e-06,mastoids_pooled
100,100_7,random,A-1,2.3062397917783526e-06,mastoids_pooled
100,100_8,random,A-1,1.957831826970846e-07,mastoids_pooled
100,100_9,random,A-1,7.823763533565398e-07,mastoids_pooled
100,100_10,random,A-1,1.0775502325088837e-07,mastoids_pooled
100,100_11,random,A-1,-5.034291220908927e-06,mastoids_pooled
100,100_12,random,A-1,2.7166495465280606e-06,mastoids_pooled
100,100_13,random,A-1,-2.1947489699414293e-06,mastoids_pooled
100,100_14,random,A-1,1.902258493391429e-07,mastoids_pooled
100,100_15,random,A-1,-2.437042126075539e-06,mastoids_pooled
100,100_16,random,A-1,-8.438011109319632e-06,mastoids_pooled
100,100_17,random,A-1,1.690066214905528e-06,mastoids_pooled
100,100_18,random,A-1,-3.355777832503293e-08,mastoids_pooled
100,100_19,random,A-1,1.612225196510053e-06,mastoids_pooled
100,100_0,random,A-2,1.7498563984474912e-08,FZ
100,100_1,random,A-2,-5.468224270543942e-07,FZ
100,100_2,random,A-2,-2.4182384868254303e-06,FZ
100,100_3,random,A-2,-5.3410448082047427e-08,FZ
100,100_4,random,A-2,-5.258098997273919e-07,FZ
100,100_5,random,A-2,2.196666004650183e-07,FZ
100,100_6,random,A-2,8.659463691174097e-07,FZ
100,100_7,random,A-2,-3.4810682518582326e-06,FZ
100,100_8,random,A-2,-1.0357767030200194e-06,FZ
100,100_9,random,A-2,-1.1822157219398833e-07,FZ
100,100_10,random,A-2,-5.789161673419585e-07,FZ
100,100_11,random,A-2,-2.366705639360589e-06,FZ
100,100_12,random,A-2,5.093954666790524e-07,FZ
100,100_13,random,A-2,7.910353622264665e-07,FZ
100,100_14,random,A-2,-7.454022875208466e-07,FZ
100,100_15,random,A-2,4.3172785836986803e-07,FZ
100,100_16,random,A-2,-9.15658580197487e-06,FZ
100,100_17,random,A-2,1.5289321572709014e-06,FZ
100,100_18,random,A-2,-9.221376103596413e-07,FZ
100,100_19,random,A-2,-1.8993861971239313e-07,FZ
100,100_0,random,A-2,-1.5628615791740684e-07,CZ
100,100_1,random,A-2,-1.3582918290921952e-06,CZ
100,100_2,random,A-2,-1.5218480143630585e-06,CZ
100,100_3,random,A-2,6.970145034301822e-07,CZ
100,100_4,random,A-2,-4.195614067725728e-07,CZ
100,100_5,random,A-2,1.2032454947075167e-06,CZ
100,100_6,random,A-2,9.198883446970285e-08,CZ
100,100_7,random,A-2,-2.681511750779464e-06,CZ
100,100_8,random,A-2,-9.019708170399099e-07,CZ
100,100_9,random,A-2,1.7050129791584822e-07,CZ
100,100_10,random,A-2,3.402724916945488e-08,CZ
100,100_11,random,A-2,-1.5311853258026532e-06,CZ
100,100_12,random,A-2,8.410712632667128e-07,CZ
100,100_13,random,A-2,3.009414704990832e-07,CZ
100,100_14,random,A-2,-4.698669624758622e-07,CZ
100,100_15,random,A-2,1.0961593480018905e-07,CZ
100,100_16,random,A-2,-8.754270420467946e-06,CZ
100,100_17,random,A-2,6.210769686276763e-07,CZ
100,100_18,random,A-2,-8.654172120259318e-07,CZ
100,100_19,random,A-2,-1.0869060383811301e-06,CZ
100,100_0,random,A-2,2.94985781692958e-06,M1
100,100_1,random,A-2,1.0519213651605241e-06,M1
100,100_2,random,A-2,-5.084615295345429e-06,M1
100,100_3,random,A-2,1.0948632257168355e-06,M1
100,100_4,random,A-2,2.2848203187209037e-08,M1
100,100_5,random,A-2,9.70740788943658e-07,M1
100,100_6,random,A-2,-1.2559560026659254e-07,M1
100,100_7,random,A-2,1.434819737369253e-06,M1
100,100_8,random,A-2,-1.079365650014097e-07,M1
100,100_9,random,A-2,1.3188689976573187e-07,M1
100,100_10,random,A-2,2.180835644499668e-07,M1
100,100_11,random,A-2,-7.96354966951185e-06,M1
100,100_12,random,A-2,2.424015255542145e-07,M1
100,100_13,random,A-2,-3.1574693548463984e-06,M1
100,100_14,random,A-2,-8.345595844616583e-08,M1
100,100_15,random,A-2,-2.2245967738854233e-06,M1
100,100_16,random,A-2,-9.155171719612554e-06,M1
100,100_17,random,A-2,8.266525424005522e-07,M1
100,100_18,random,A-2,8.15798346138763e-07,M1
100,100_19,random,A-2,8.596347151978989e-07,M1
100,100_0,random,A-2,1.355519416392781e-06,M2
100,100_1,random,A-2,1.1728380263775763e-06,M2
100,100_2,random,A-2,-1.9248848138886386e-06,M2
100,100_3,random,A-2,7.961541587064858e-07,M2
100,100_4,random,A-2,-3.5758645900330066e-07,M2
100,100_5,random,A-2,-1.2615058778919774e-07,M2
100,100_6,random,A-2,-4.22789713070415e-07,M2
100,100_7,random,A-2,1.5804136455699335e-06,M2
100,100_8,random,A-2,8.10840200990981e-07,M2
100,100_9,random,A-2,7.970308138283144e-07,M2
100,100_10,random,A-2,3.8620079038764745e-07,M2
100,100_11,random,A-2,-3.6109906432102436e-06,M2
100,100_12,random,A-2,1.3970446525490844e-06,M2
